file_path,surface,role_channel,route_or_function,function_name,state,locale,source_commit_or_build,width,height,sha256,real_runtime_verified,branding_verified,brand_anchor_present,reviewer_notes
ScreenShots/01_Mobile/B2B_Customer/07_طلباتي__populated__en.png,mobile,B2B Customer,/b2b/orders,طلباتي,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,b357509d377bcf7a209c823c988a7e6ac631d8c6dc280742254b3f70aa1aced4,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/08_تفاصيل_الطلب_وتتبع_الحالة__populated__ar.png,mobile,B2B Customer,/b2b/orders/:id,تفاصيل_الطلب_وتتبع_الحالة,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,d2a39f0ab5e5e8d1ddf6f3a1a52a62104e0b2244f0761bde8c97be74e3f0ac1e,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/08_تفاصيل_الطلب_وتتبع_الحالة__populated__en.png,mobile,B2B Customer,/b2b/orders/:id,تفاصيل_الطلب_وتتبع_الحالة,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,b88d3b43f5102b02f8b34e03615f6beda40b0ea59103b81ef7133d970f8416d5,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/09_تفاصيل_الفاتورة__populated__ar.png,mobile,B2B Customer,/b2b/invoices/:id,تفاصيل_الفاتورة,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,7ebc7c8ac598f0c9941e3c6d24760a7eb720cd71a976ad525e4666f52a9072f8,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/09_تفاصيل_الفاتورة__populated__en.png,mobile,B2B Customer,/b2b/invoices/:id,تفاصيل_الفاتورة,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,61b957b39d45100240f8f7e83b2f6b43c577cbde65306c4b018c09a467cb7448,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/10_تصفح_المنتجات__populated__ar.png,mobile,B2B Customer,/b2b/products,تصفح_المنتجات,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,09544f6919cba0838130ab7c4f5c1b8e8525a53c1d11a41183397fda051c8a3e,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/10_تصفح_المنتجات__populated__en.png,mobile,B2B Customer,/b2b/products,تصفح_المنتجات,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,103f60142573010f36ee62344d131cf8c0915005b45cd39a9eebc9ad49883368,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/11_تفاصيل_المنتج_وإضافة_للسلة__populated__ar.png,mobile,B2B Customer,/b2b/products/:id,تفاصيل_المنتج_وإضافة_للسلة,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,71c01cdb76b9430327eb82dc503a06f455651883c52b62565414708ce0e82ce7,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/11_تفاصيل_المنتج_وإضافة_للسلة__populated__en.png,mobile,B2B Customer,/b2b/products/:id,تفاصيل_المنتج_وإضافة_للسلة,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,de07878bcf86c43ed580e5602b8adb98710de6623674528f27e435a1aa15939c,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/12_سلة_المشتريات_وإتمام_الطلب__populated__ar.png,mobile,B2B Customer,/b2b/cart,سلة_المشتريات_وإتمام_الطلب,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,0cf5dc0ee8d2e98ecb3e294e3fbf671e91baf97d46aa086f27bb2cdeff87de82,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
